2022-07-02 21:09:14 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Category:1998_deaths'
2022-07-02 21:09:14 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/The_Daily_News_(Kentucky)'
2022-07-02 21:09:15 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Category:Articles_with_hCards'
2022-07-02 21:09:15 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Werner_Zorn'
2022-07-02 21:09:16 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://sv.wikipedia.org/wiki/Jonathan_Postel'
2022-07-02 21:09:16 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Florencio_Utreras'
2022-07-02 21:09:17 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Ray_Tomlinson'
2022-07-02 21:09:17 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Category:Articles_with_LCCN_identifiers'
2022-07-02 21:09:18 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Special:BookSources/9780262263795'
2022-07-02 21:09:19 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Bob_Kahn'
2022-07-02 21:09:19 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/DNS_root_zone'
2022-07-02 21:09:19 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Susan_Estrada'
2022-07-02 21:09:20 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Computer_Networks:_The_Heralds_of_Resource_Sharing'
2022-07-02 21:09:20 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Dennis_Jennings_(Internet_pioneer)'
2022-07-02 21:09:21 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/STD_8'
2022-07-02 21:09:21 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Jonathan_B._Postel_Service_Award'
2022-07-02 21:09:21 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Doctoral_advisor'
2022-07-02 21:09:21 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Mitchell_Baker'
2022-07-02 21:09:22 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Jianping_Wu'
2022-07-02 21:09:22 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Dorcas_Muthoni'
2022-07-02 21:09:22 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Abhaya_Induruwa'
2022-07-02 21:09:23 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Kilnam_Chon'
2022-07-02 21:09:23 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://fi.wikipedia.org/wiki/Jon_Postel'
2022-07-02 21:09:24 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Special:WhatLinksHere/Jon_Postel'
2022-07-02 21:09:24 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/John_Perry_Barlow'
2022-07-02 21:09:24 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://zh.wikipedia.org/wiki/%E5%96%AC%E6%81%A9%C2%B7%E6%B3%A2%E6%96%AF%E7%89%B9%E7%88%BE'
2022-07-02 21:09:25 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Special:BookSources/0-684-81201-0'
2022-07-02 21:09:26 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Van_Jacobson'
2022-07-02 21:09:26 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Jun_Murai'
2022-07-02 21:09:27 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Danny_Cohen_(computer_scientist)'
2022-07-02 21:09:27 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://ar.wikipedia.org/wiki/%D8%AC%D9%88%D9%86_%D8%A8%D9%88%D8%B3%D8%AA%D9%84'
2022-07-02 21:09:28 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://id.wikipedia.org/wiki/Jon_Postel'
2022-07-02 21:09:28 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Category:Articles_with_WORLDCATID_identifiers'
2022-07-02 21:09:28 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Computer_science'
2022-07-02 21:09:29 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Tim_Berners-Lee'
2022-07-02 21:09:29 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/National_Telecommunications_and_Information_Administration'
